	CR.20.CE.Day0	CR.20.Stool.Day0	CR.21.CE.Day0	CR.21.Stool.Day0	CR.22.CE.Day0	CR.22.Stool.Day0	CR.23.CE.Day0	CR.23.Stool.Day0	Env.10.CE.Day1	Env.11.CE.Day1	Env.11.Stool.Day0	Env.12.CE.Day1	Env.12.Stool.Day0	Env.13.CE.Day1	Env.13.Stool.Day0	Evn.10.Stool.Day0	Jax.40.CE.Day1	Jax.40.Stool.Day0	Jax.41.CE.Day1	Jax.41.Stool.Day0	Jax.42.CE.Day1	Jax.42.Stool.Day0	Jax.43.CE.Day1	Jax.43.Stool.Day0	Tac.30.CE.Day1	Tac.30.Stool.Day0	Tac.31.CE.Day1	Tac.31.Stool.Day0	Tac.32.CE.Day1	Tac.32.Stool.Day0	Tac.33.CE.Day1	Tac.33.Stool.Day0
CR.20.CE.Day0	0	0.3686809775385172	0.33303376663804923	0.3981579490572055	0.3408649902989501	0.3634869570761523	0.3560423827401119	0.3832756651619584	0.5261396794599833	0.4746206993916766	0.4588070124165523	0.4613884332446158	0.4967001611721383	0.43034717619295826	0.5027379460476482	0.5255601721972315	0.548069877960516	0.6257018096236046	0.5455600903539997	0.6215069630937395	0.6018463397032257	0.5894648145684308	0.4610470999453361	0.6094753421598155	0.5537954812044813	0.6155671879496675	0.5016426511786011	0.5114993081220983	0.551988340132732	0.5177877217319358	0.5283144923459635	0.5302857348725263
CR.20.Stool.Day0	0.3686809775385172	0	0.3977279268360803	0.4041847247684143	0.3712932648928115	0.42637921095364406	0.42631779746897114	0.4072133377297179	0.55612806462721	0.4554905096296084	0.5326082022636983	0.4741890580507088	0.5112839064408963	0.4683928622079835	0.46662642057161774	0.5332340414805758	0.5696019181885259	0.6224634233383017	0.5904904475759506	0.6443548484274393	0.6329125968944507	0.6185328175363068	0.5038291469821231	0.6220073812284108	0.551678938198169	0.613486166707647	0.5290365046133908	0.5055123504616577	0.5641959575299712	0.5263360418734129	0.522414746722536	0.5267425038483371
CR.21.CE.Day0	0.33303376663804923	0.3977279268360803	0	0.3291668833390437	0.3173057149512252	0.3708081463182874	0.3400212965610464	0.3521622310232125	0.5485552236065443	0.4308746349397743	0.44374989194605846	0.4266136317337465	0.48061235907463185	0.4072785278297243	0.44071016231605903	0.471839971757591	0.5611170497915363	0.6200894103441223	0.5555058532358859	0.6182125776997784	0.5872189048566263	0.5900911968359858	0.4766022998991015	0.5950805198670436	0.5452283777478689	0.5743790882712972	0.4789053708354008	0.4765411474459548	0.5268357450555881	0.5154102690072432	0.4967673669401074	0.5212095206119345
CR.21.Stool.Day0	0.3981579490572055	0.4041847247684143	0.3291668833390437	0	0.3815370439381108	0.33901395405339035	0.38908919840237816	0.377557966877165	0.5757702905434678	0.5079299714867683	0.5405273941720654	0.5096053083208457	0.5435243112083663	0.5030874781877204	0.5288401964702758	0.5613319699043974	0.6192374610395245	0.5972750073933495	0.6069346859867973	0.6600579791765452	0.6588755355966284	0.5598974984499098	0.5179491087056224	0.6505984523149234	0.5853343504193513	0.612544020996241	0.5246632241745439	0.5355543382815102	0.6044549000919811	0.4827970168597122	0.5467713440825135	0.5059248016763772
CR.22.CE.Day0	0.3408649902989501	0.3712932648928115	0.3173057149512252	0.3815370439381108	0	0.31126025471607577	0.31545075779184073	0.33748335085351583	0.5441030247141575	0.44497786222203606	0.45662078828006786	0.433925368505679	0.4751322361526544	0.4095572767021291	0.46850308891686265	0.5020020261565621	0.5357093599579453	0.6161148116096485	0.5363052274657583	0.61882550444333	0.5950919382997243	0.5861274196221712	0.454668555938506	0.6013583449987897	0.5178122070602287	0.5578433581253738	0.4894662929869084	0.470808424090433	0.5330547997967152	0.50963168044106	0.48479379644242576	0.5113203555558566
CR.22.Stool.Day0	0.3634869570761523	0.42637921095364406	0.3708081463182874	0.33901395405339035	0.31126025471607577	0	0.3956543553360866	0.4195989435781772	0.5869718959589029	0.4870498911360459	0.4876203562606885	0.48003416467985527	0.5163204436138343	0.45802533651170246	0.504234264105026	0.5415750770477149	0.5850238666354025	0.5786899337774042	0.6047466001531144	0.672311205651199	0.6493212549975953	0.5718694808596826	0.5117257900061754	0.6446084475901663	0.5751251770562051	0.5826763535049196	0.509056919762396	0.5093054192864033	0.5556012293908739	0.46892883847306943	0.5173644138351043	0.4804930427307037
CR.23.CE.Day0	0.3560423827401119	0.42631779746897114	0.3400212965610464	0.38908919840237816	0.31545075779184073	0.3956543553360866	0	0.2720325617001499	0.5653145018560721	0.45107122745831646	0.4917058304833869	0.425615363511374	0.4878968126213847	0.41061176706395885	0.45853825458700653	0.48263307246147824	0.563797016746751	0.6503066745233772	0.5684029824167353	0.6452534852486572	0.6370082487049651	0.6108412277769467	0.4944880787148903	0.6163670936543739	0.5482391543004196	0.5818161949089049	0.5014017838856669	0.4941263317532584	0.5659195955175099	0.5224419788156494	0.517478855666188	0.5373834258180391
CR.23.Stool.Day0	0.3832756651619584	0.4072133377297179	0.3521622310232125	0.377557966877165	0.33748335085351583	0.4195989435781772	0.2720325617001499	0	0.5643835005592093	0.480392617020007	0.4986417526843031	0.4485976564631589	0.4979575730728638	0.4428970093890848	0.4683997098217223	0.49231667096868453	0.5849152824956277	0.6444572864023765	0.6026848996500682	0.6391718753620509	0.6446945903610416	0.6271304143442341	0.5149056468290921	0.6387300923471436	0.5809132567841878	0.6204165488248334	0.5376838215167693	0.5387929555315868	0.5918520001071425	0.5398945469938058	0.544061680951607	0.5695224227256371
Env.10.CE.Day1	0.5261396794599833	0.55612806462721	0.5485552236065443	0.5757702905434678	0.5441030247141575	0.5869718959589029	0.5653145018560721	0.5643835005592093	0	0.4468554688728797	0.49879419636645383	0.4656479785124724	0.5200671652797272	0.4730714504234045	0.5009639002724057	0.5380687530020607	0.6026686215739058	0.6568811320964614	0.5841791181415819	0.6333136947535389	0.6143865385739284	0.6168692288034057	0.5152373362649367	0.6313016084001951	0.5113106173357964	0.6316750512601533	0.5525231711726591	0.5058651415732247	0.5466349858216201	0.584864916347894	0.5228503807970659	0.5828485109513589
Env.11.CE.Day1	0.4746206993916766	0.4554905096296084	0.4308746349397743	0.5079299714867683	0.44497786222203606	0.4870498911360459	0.45107122745831646	0.480392617020007	0.4468554688728797	0	0.3973225520490272	0.32290223166388404	0.4075664847707457	0.28433930224934156	0.35646142851681145	0.4099796329729094	0.5886402336417581	0.6655785814247345	0.596276180441727	0.6714253222541213	0.6527059583321366	0.6200142684871968	0.5296381468506983	0.633271245760972	0.4982698755061677	0.5906359213530888	0.4455002828965192	0.4307159832570832	0.5287606874833174	0.47596673772073345	0.4522997704792765	0.4980058891033187
